Unnamed: 0,USD_KOR_Coeff,USD_USA_Coeff,USD_KOR_pvalue,USD_USA_pvalue,JPY_KOR_Coeff,JPY_YEN_Coeff,JPY_KOR_pvalue,JPY_YEN_pvalue,CHN_KOR_Coeff,CHN_YUAN_Coeff,CHN_KOR_pvalue,CHN_YUAN_pvalue
0,0.0,0.0,0.9468,0.6492,0.0001,0.0001,0.5246,0.4253,0.0001,-0.0001,0.3368,0.3583
1,0.0001,-0.0001,0.1508,0.4681,0.0,-0.0,0.9944,0.9567,-0.0,-0.0,0.5555,0.4597
2,0.0002,0.0001,0.0436,0.3358,-0.0001,-0.0001,0.4387,0.4209,0.0001,-0.0,0.1421,0.5731
3,0.0002,-0.0,0.0016,0.8544,-0.0001,-0.0,0.4744,0.8447,0.0,-0.0,0.4556,0.6031
4,0.0002,-0.0001,0.0347,0.2135,-0.0001,-0.0,0.5784,0.7989,-0.0,0.0,0.9325,0.933
5,0.0002,-0.0,0.0205,0.7457,-0.0001,0.0,0.5984,0.6865,0.0001,-0.0001,0.2249,0.2738
6,0.0001,0.0001,0.3215,0.4902,-0.0001,0.0,0.6055,0.7973,0.0,-0.0001,0.7869,0.3506
7,0.0,0.0001,0.5772,0.2456,0.0002,-0.0,0.1157,0.6562,0.0001,-0.0,0.1038,0.8313
8,-0.0,0.0,0.8378,0.6318,0.0001,-0.0,0.4374,0.9458,0.0,0.0,0.4764,0.6268
9,0.0001,-0.0001,0.1992,0.4623,0.0,-0.0001,0.6696,0.5592,-0.0,0.0,0.6171,0.6174
10,-0.0,-0.0001,0.9004,0.1884,0.0,-0.0001,0.9193,0.3489,-0.0001,0.0,0.3433,0.8962
11,0.0,-0.0,0.8313,0.8071,-0.0,-0.0,0.8478,0.9165,0.0,-0.0001,0.9188,0.3715
12,-0.0,0.0,0.7179,0.6539,-0.0,0.0,0.6785,0.8836,-0.0,-0.0001,0.5808,0.2842
13,0.0,-0.0,0.868,0.8753,-0.0001,0.0002,0.4356,0.0366,0.0,-0.0001,0.8886,0.2432
14,0.0001,-0.0001,0.2166,0.1503,-0.0,0.0001,0.9958,0.3696,0.0001,-0.0,0.1502,0.5591
15,-0.0001,-0.0001,0.5092,0.0672,0.0,0.0,0.7171,0.9262,-0.0,0.0,0.5342,0.5422
16,-0.0001,0.0001,0.3253,0.4996,0.0001,-0.0,0.4734,0.6825,0.0,0.0,0.4823,0.534
17,-0.0,0.0001,0.8905,0.1841,-0.0001,0.0,0.3952,0.7845,0.0,-0.0,0.864,0.5178
18,-0.0,-0.0,0.9747,0.9826,0.0001,0.0001,0.2723,0.3127,0.0,-0.0001,0.5962,0.1859
19,-0.0,-0.0001,0.9849,0.2642,-0.0,0.0001,0.9578,0.2156,0.0,-0.0,0.9537,0.4527
20,0.0001,0.0,0.1087,0.5903,0.0001,-0.0,0.4087,0.9293,0.0001,-0.0,0.0847,0.7181
