,USD_KOR_Coeff,USD_USA_Coeff,USD_KOR_pvalue,USD_USA_pvalue,JPY_KOR_Coeff,JPY_YEN_Coeff,JPY_KOR_pvalue,JPY_YEN_pvalue,CHN_KOR_Coeff,CHN_YUAN_Coeff,CHN_KOR_pvalue,CHN_YUAN_pvalue
0,5.219557328567704e-06,3.556015404574429e-05,0.9467694877569978,0.6492209756239427,6.453512259461429e-05,8.086476005863943e-05,0.5246207033158157,0.4253298152129463,6.271283181509889e-05,-5.9971489300902075e-05,0.33677180657568817,0.3583138665429858
1,0.00011235278714115312,-5.672566777985204e-05,0.15076889175809058,0.4681077775641376,7.155070004774755e-07,-5.504890128830723e-06,0.994372871828658,0.956727502094398,-3.8490022082539816e-05,-4.827182903183712e-05,0.5555464514145744,0.4597493003190908
2,0.00015772100228774526,7.520065263697665e-05,0.04361712533848199,0.33584985315606,-7.855385279467355e-05,-8.164216053846788e-05,0.4386720898106705,0.4208890430971365,9.582285084602644e-05,-3.677579679359148e-05,0.14207593885989112,0.5730534942350928
3,0.0002466172290292584,-1.4320292367943827e-05,0.0015981830256748793,0.8544220062297709,-7.256345599123085e-05,-1.98754859488114e-05,0.47443447050583043,0.8446650358176926,4.8709374783908685e-05,-3.393890232327035e-05,0.4555961405684248,0.6031441007279413
4,0.00016508129217427322,-9.720487093119744e-05,0.03470897938296154,0.21354908507576412,-5.638728931689955e-05,-2.5849860774968823e-05,0.5783936875525508,0.798897776273575,-5.53229749944372e-06,5.486522222815324e-06,0.9324917199224221,0.9330489770066475
5,0.00018120687827135535,-2.5344100206977956e-05,0.020474036396278927,0.7456867980499428,-5.343958787144512e-05,4.094195068731054e-05,0.5983808334816659,0.6865422331259772,7.923056202345394e-05,-7.143472947426114e-05,0.2248584743729041,0.27381373919895785
6,7.75526916518949e-05,5.396972932514849e-05,0.32152637056267447,0.4902483869092419,-5.23817941594971e-05,2.60538815601577e-05,0.6055034202350398,0.7972512415409098,1.764656313021268e-05,-6.0941358219912254e-05,0.7869394915206308,0.350646721432624
7,4.360799377410779e-05,9.084221873722859e-05,0.5772126596384185,0.24558465180688913,0.0001594791203295299,-4.5128145773251535e-05,0.11572346312511905,0.6561576785497388,0.00010618956126967608,-1.38993328046354e-05,0.10376140963548981,0.831320254432402
8,-1.601593942130016e-05,3.750064115595397e-05,0.837830266773133,0.6317856905859505,7.875387547950971e-05,-6.888320739808105e-06,0.43738331837031563,0.9458391746517022,4.648722460267157e-05,3.174688700615759e-05,0.4764156592950861,0.6267505540863421
9,0.00010044133852983952,-5.74954634947183e-05,0.19915481421240624,0.46229736136230337,4.327394499802779e-05,-5.922835047317421e-05,0.6695854192827811,0.5591999652966892,-3.261416251804952e-05,3.258883141994603e-05,0.6170985976108361,0.6173720406397187
10,-9.783330013983513e-06,-0.00010284944066095733,0.9004141107320618,0.18841307390465337,1.0275146174356767e-05,-9.49913199256776e-05,0.9192783418176217,0.3488622755402896,-6.173275040379977e-05,8.494674865089109e-06,0.34331895746145513,0.8962417245677953
11,1.6663352442494856e-05,-1.909428146745611e-05,0.8312883258889008,0.8071302775160065,-1.9456330385224473e-05,-1.0625336206084176e-05,0.8478432633037412,0.9165477119722546,6.643511376390557e-06,-5.8217281096524165e-05,0.9187645576452863,0.37150271311406413
12,-2.8256702111911106e-05,3.5069862125888866e-05,0.7179165335943745,0.6539055235216944,-4.2025592229554756e-05,1.4848042550711863e-05,0.6784834663730576,0.8835573797730796,-3.597709146512888e-05,-6.976803351933249e-05,0.5807530205480569,0.28421058645480163
13,1.3005497011688194e-05,-1.2274609565817754e-05,0.8679829474367075,0.8753395708845797,-7.897782507304398e-05,0.000211786950810268,0.4355690735341151,0.0366226733260498,9.122083814698652e-06,-7.603171422276644e-05,0.8886310126768523,0.24320428168659222
14,9.660301979914046e-05,-0.00011248515603120154,0.2166410600363585,0.15027917764776347,-5.317413281011649e-07,9.098402670404598e-05,0.9958154154018009,0.3695569445508008,9.37503566806607e-05,-3.805572168402192e-05,0.15017302255263756,0.5590790650099218
15,-5.1621831837890086e-05,-0.0001432008394814039,0.5091590826704626,0.06715000807891448,3.6748989795308806e-05,9.388005756330983e-06,0.7170502207470293,0.9262355943338567,-4.051287836393049e-05,3.972383197373249e-05,0.5341904262673618,0.5421824130171115
16,-7.696956693515505e-05,5.282575666434382e-05,0.3252591741641834,0.4995629517815221,7.269376819713106e-05,-4.1479209958040036e-05,0.47341964973978246,0.6824695198529095,4.5800729503226905e-05,4.053398151163799e-05,0.48225064769323234,0.5340135767131691
17,-1.0770742250067169e-05,0.00010392854796542543,0.8904854101934904,0.18406931105030117,-8.619449024491924e-05,2.7712606566331236e-05,0.39515701173774054,0.7845435091438178,1.1163508724993834e-05,-4.216207460609597e-05,0.8640208328032005,0.5177775864625731
18,-2.478933027417014e-06,-1.7107623317687972e-06,0.9747287783309486,0.9825582849654411,0.00011123901314421733,0.00010231278380485314,0.27233359753246494,0.31266695785766857,3.452753330905419e-05,-8.620677299092674e-05,0.5962017491061935,0.18592309670975546
19,-1.4827750273898958e-06,-8.733028087678679e-05,0.9848727710874559,0.2641918070493071,-5.365768966755426e-06,0.00012553261602313187,0.9577810945618894,0.21561209096363979,3.7834666686792176e-06,-4.893084147917197e-05,0.9536939605608721,0.45268715905119483
20,0.00012546880557457279,4.210405461765041e-05,0.10868942351355328,0.5902751843730683,8.371122731326391e-05,-8.994366678190033e-06,0.4087217835182677,0.9292630447755927,0.00011232292842621479,-2.3508840339190668e-05,0.08469655938359143,0.7181314749870256
